# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "8" "-p" "-a" "../Indices/97103/97103_v2.5.gtf" "-o" "../Quantification/97103.txt" "Mock_2.bam" "Mock_3.bam" "P_1.bam" "P_2.bam" "P_3.bam" "T_1.bam" "T_2.bam" "T_3.bam" "T_P_1.bam" "T_P_2.bam" "T_P_3.bam" 
Geneid,Mock_2.bam,Mock_3.bam,P_1.bam,P_2.bam,P_3.bam,T_1.bam,T_2.bam,T_3.bam,T_P_1.bam,T_P_2.bam,T_P_3.bam
Cla97C01G000010,2754,3344,3276,2685,2855,2725,2576,3144,2335,3253,3080
Cla97C01G000020,61,20,21,3,19,35,28,34,17,56,39
Cla97C01G000030,197,231,138,122,130,294,242,226,331,414,335
Cla97C01G000040,4794,5823,5125,4052,4609,4212,4675,6274,3988,4911,5014
Cla97C01G000050,751,720,663,452,530,370,487,572,388,408,399
Cla97C01G000060,1176,1116,977,750,593,247,470,490,500,459,503
Cla97C01G000070,1378,2732,2793,2482,1816,1586,1600,1654,2472,2077,2857
Cla97C01G000080,0,0,0,0,0,0,0,0,0,0,0
Cla97C01G000090,1130,761,1031,897,791,986,750,733,1204,1486,1390
Cla97C01G000100,45,22,23,19,43,49,20,32,8,28,6
Cla97C01G000110,92,43,14,22,39,38,40,56,18,51,25
Cla97C01G000120,1390,1719,1982,1371,1927,1281,1502,1930,1240,1831,1786
Cla97C01G000130,3289,3489,3118,3249,3199,2801,3299,3046,3969,4919,4672
Cla97C01G000135,53,108,55,87,104,34,99,74,120,106,135
Cla97C01G000140,970,867,1181,1312,956,1739,1558,1641,1539,1362,1994
Cla97C01G000145,0,0,0,0,0,0,0,0,0,0,0
Cla97C01G000150,0,0,0,0,0,0,0,0,0,0,0
Cla97C01G000160,0,0,0,0,0,0,0,0,0,0,0
Cla97C01G000170,2100,2536,2443,1339,2458,2238,1420,1545,1820,3468,2725
Cla97C01G000180,125,157,66,117,56,148,128,199,63,39,93
Cla97C01G000190,11,50,73,29,81,24,44,56,27,11,35
Cla97C01G000200,9479,12044,13750,15526,11764,9336,14354,14444,10913,11329,14851
Cla97C01G000220,3218,1982,2524,3067,2559,2178,2524,2371,3142,3181,3552
Cla97C01G000230,3629,4491,4159,3197,4398,3376,3759,4478,3131,5546,4847
Cla97C01G000240,3203,6131,7856,7324,6579,3975,4891,6086,4672,6189,6023
