# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "8" "-p" "-a" "../Indices/USDA_Cmelo_AY_1.0/GCF_025177605.1_USDA_Cmelo_AY_1.0_genomic.gtf" "-o" "../Quantification/USDA_Cmelo_AY_1.0/GCF_025177605.1_USDA_Cmelo_AY_1.0.txt" "CK21_FR.bam" "CK22-1_FR.bam" "CK22-2_FR.bam" "CK23_FR.bam" "T21_FR.bam" "T22_FR.bam" "T23_FR.bam" "T24_FR.bam" 
Geneid,CK21_FR.bam,CK22-1_FR.bam,CK22-2_FR.bam,CK23_FR.bam,T21_FR.bam,T22_FR.bam,T23_FR.bam,T24_FR.bam
LOC103495187,1457,1635,1978,1983,1348,1218,872,1115
LOC103495186,96,147,102,94,132,167,99,186
LOC103495188,232,139,245,316,270,152,117,159
LOC103495189,2594,2689,2830,2788,2460,2434,1401,2480
TRNAI-AAU,0,0,0,0,0,0,0,0
LOC103495192,894,933,1071,1083,987,810,435,687
LOC103495191,118,113,113,168,163,97,42,127
LOC103495190,354,305,270,317,377,386,219,288
LOC103495193,95,126,148,172,108,98,42,52
TRNAR-UCU,0,0,0,0,0,0,0,0
TRNAI-AAU_1,0,0,0,0,0,0,0,0
LOC103495194,2024,2253,2545,2266,1508,1718,3049,2480
LOC127148780,47,69,58,73,54,34,69,25
LOC103495196,10,9,42,23,12,16,20,15
LOC103495197,22,26,56,21,35,38,44,73
LOC127143781,19,18,20,7,8,19,12,14
LOC103495200,4,5,1,7,13,4,0,5
LOC127148806,0,1,0,3,4,0,0,0
LOC103495201,0,0,0,1,0,0,0,0
TRNAD-GUC,0,0,0,0,0,0,0,0
LOC127150011,0,3,6,4,3,2,3,0
HPL,14,17,24,18,24,11,15,6
LOC127148804,0,0,1,2,1,0,0,0
LOC127148783,0,1,18,16,2,10,7,7
LOC103495198,0,0,0,0,0,0,0,0
LOC127148769,0,0,0,0,1,0,0,0
LOC107991341,0,0,0,0,0,0,0,0
LOC127148808,0,0,0,0,0,0,0,0
TRNAD-GUC_1,0,0,0,0,0,0,0,0
LOC103495202,790,931,976,945,895,797,345,827
LOC103495203,1703,1560,1849,1965,1765,1400,722,1041
LOC103495204,53,44,82,42,52,54,30,26
LOC103495205,2,6,22,18,4,0,0,0
LOC103495206,288,346,480,509,381,314,122,167
LOC103495209,82,68,90,114,163,192,112,187
LOC103495211,613,823,1023,1022,724,792,632,736
LOC103495212,799,797,929,772,981,899,814,1139
LOC103495213,1722,1580,1823,3344,3638,2507,800,1658
LOC103495215,1576,2154,2257,3411,1751,1357,550,765
TRNAI-AAU_2,0,0,0,0,0,0,0,0
LOC103495214,141,168,238,274,166,101,21,47
LOC103495668,36,50,81,58,77,91,135,169
LOC103495216,932,1020,1109,1302,1604,1081,113,320
LOC103495218,2468,3147,4022,3150,2554,2529,840,1650
LOC103495219,994,1221,1438,1139,871,917,605,816
LOC103495220,630,587,690,668,807,494,288,557
LOC103495221,2744,2726,3266,3269,3362,2978,2918,2639
LOC103495222,738,756,969,897,872,689,325,642
LOC103495224,606,623,745,806,694,435,543,821
LOC103495225,2543,2098,2310,2316,2270,2416,1605,2337
LOC103495226,1105,1030,1259,1114,1265,903,341,658
LOC103495227,1644,2325,2593,2957,2916,2223,379,573
LOC103495228,596,526,716,680,675,615,669,1027
LOC103495229,50,93,89,82,51,50,12,18
LOC103495231,1322,1420,1485,1243,1346,1354,1261,1548
LOC103495233,143,212,225,163,367,424,212,654
LOC103495232,91,156,187,187,172,113,94,68
TRNAR-CCU,0,0,0,2,7,2,5,2
LOC103495234,111,30,87,65,24,6,55,11
LOC103495235,1097,1275,1648,988,1142,1138,825,1250
LOC103495236,4,7,0,4,2,2,26,20
LOC103495237,12024,7870,9037,9264,9304,8941,15904,13233
LOC103495238,4,0,0,0,7,0,0,0
LOC103495239,855,822,1005,1106,1112,942,569,983
LOC103495241,1631,1343,1679,1955,1150,1007,355,603
LOC103495242,1009,984,1154,786,721,905,671,963
TRNAR-UCU_1,0,0,0,0,0,0,0,0
LOC103495245,1737,1459,1704,2547,2156,2058,2247,2697
LOC103495244,521,376,543,855,661,633,316,645
LOC103495243,2001,1749,2075,2673,2447,1857,563,1539
LOC103495246,20575,26836,31187,22800,28996,33883,49031,53576
LOC103495249,3790,3380,4164,3834,4822,5340,4900,6533
LOC103495247,2464,2465,2779,2697,2747,2874,2994,3914
LOC103495248,20965,27268,32182,28092,26028,24998,22594,26735
LOC103495670,565,649,616,518,434,230,107,184
LOC107991336,497,492,611,735,421,291,157,192
LOC103495250,5600,4739,5657,5278,3367,3320,2506,1731
LOC103495253,1348,983,1170,941,857,828,813,610
LOC103495252,2030,1496,1896,1993,1896,1949,1548,1081
LOC103495254,986,1045,1072,1112,920,1056,1072,780
LOC127148895,0,0,0,0,0,0,0,0
LOC103495257,1342,1352,1876,948,707,846,931,1154
LOC103495256,8,12,0,30,2,11,5,18
LOC103495255,8,8,10,4,14,14,0,8
LOC103495259,2174,2435,2995,2346,2387,2553,3654,3882
LOC103495258,3386,3805,4336,3903,4057,3920,1601,3316
LOC103495260,1214,991,989,676,677,739,1135,956
LOC103495262,823,655,780,668,683,478,75,113
LOC103495671,0,0,0,0,0,0,0,0
LOC103495264,1844,1799,2141,1742,2534,2483,929,2397
LOC103495263,18,8,25,17,7,23,0,9
LOC103495265,1662,1900,2033,1257,1220,1714,2259,3165
LOC103495271,28,10,8,24,16,15,14,33
LOC103495270,590,510,595,705,965,1145,1272,2561
LOC103495269,1273,1150,1295,1479,1542,1759,1661,1335
LOC103495268,171,198,188,147,268,279,210,428
LOC103495267,15,38,48,30,29,7,1,20
LOC103495266,622,539,590,674,927,655,323,628
LOC103495272,51,21,48,24,33,60,34,50
LOC103495273,3699,2972,3702,3196,2711,3361,5666,4287
LOC103495274,970,1297,1735,1375,2115,2407,2647,3596
LOC103495275,1010,821,1009,1102,1153,1356,760,1407
LOC103495276,2882,2651,3449,3062,6317,5956,2566,8728
LOC103495277,2942,2198,2551,2062,2495,2184,1717,2315
LOC103495279,555,857,967,686,930,845,888,1157
LOC103495282,187,193,193,112,94,165,188,309
LOC127148979,0,0,0,0,0,0,0,0
LOC103495280,303,267,288,156,300,301,197,306
LOC103495283,34,12,22,53,21,18,2,16
LOC103495284,615,602,810,1147,830,881,164,882
LOC103495285,625,751,899,723,825,796,962,1223
LOC103495286,6,4,6,7,2,0,9,6
LOC103495288,3254,2940,3266,3441,3381,3330,2100,2426
LOC103495289,72,118,197,158,169,140,18,76
LOC103495290,1366,1124,1327,1565,2062,1634,495,1868
LOC103495291,95,175,170,129,94,102,64,56
LOC107991337,646,555,727,416,442,467,261,1674
LOC103495292,1621,2301,2735,1220,1753,2242,3662,6513
LOC103495672,3,0,1,0,0,0,0,4
LOC103495293,499,923,982,828,1166,1371,677,1089
LOC103495294,430,377,550,433,530,375,245,468
LOC103495295,3729,2683,3107,2924,1121,1295,665,908
LOC103495299,1250,1017,1143,1163,862,874,1365,1110
LOC103495298,4,2,6,0,2,0,0,0
LOC103495297,11536,11158,12325,8578,8199,9403,9319,15178
LOC103495296,1355,1547,1724,1233,1347,1306,1496,1935
LOC103495300,9128,9669,11066,7918,9221,12363,11844,12581
LOC103495301,541,690,775,1016,924,767,384,508
LOC103504520,1955,967,919,758,713,916,2414,1001
LOC103495302,1797,1857,1979,2288,2685,2204,1226,1498
LOC103495304,1919,1886,2543,2078,1818,1958,1240,1069
LOC103495305,0,0,8,6,0,2,0,0
LOC103495306,5771,6347,7963,6468,6857,7261,4459,7371
TRNAN-GUU,0,0,0,0,0,0,0,0
LOC103495307,916,890,967,845,606,594,91,226
